location_x,location_y,remaining_min,power_of_shot,game_season,lat/lng,home/away,remaining_sec,shot_id_number,distance_of_shot,is_goal,area_of_shot,shot_basics,range_of_shot,type_of_shot,type_of_combined_shot
-21,135,11,4,2003-04,"43.062206, -87.944754",MANU @ MIL,48,5069,33,1,,Goal Line,8-16 ft.,,shot - 3
133,-18,11,,2003-04,"43.062206, -87.944754",MANU @ MIL,9,5070,33,0,Right Side(R),Mid Range,8-16 ft.,,shot - 3
-97,160,9,4,2003-04,"43.062206, -87.944754",MANU @ MIL,5,5071,38,0,Left Side Center(LC),Mid Range,16-24 ft.,shot - 5,
-164,-26,8,4,2003-04,"43.062206, -87.944754",MANU @ MIL,33,5072,36,,Left Side(L),Mid Range,16-24 ft.,shot - 3,
235,-21,4,4,2003-04,"43.062206, -87.944754",MANU @ MIL,32,5073,43,0,Right Side(R),,24+ ft.,shot - 49,
,,3,4,2003-04,"43.062206, -87.944754",MANU @ MIL,34,5074,46,1,Right Side Center(RC),Penalty Spot,24+ ft.,shot - 39,
13,125,3,4,2003-04,"43.062206, -87.944754",MANU @ MIL,8,5075,32,0,Center(C),Goal Line,8-16 ft.,,shot - 3
-120,245,1,4,2003-04,"43.062206, -87.944754",MANU @ MIL,30,5076,,1,,Penalty Spot,24+ ft.,shot - 0,
-97,187,0,4,2003-04,"43.062206, -87.944754",MANU @ MIL,30,5077,41,1,Left Side Center(LC),Mid Range,16-24 ft.,shot - 4,
-8,15,11,1,2003-04,"29.444994, -98.524120",MANU @ SAS,13,5078,,,Center(C),Goal Area,Less Than 8 ft.,,shot - 4
49,54,10,1,2003-04,"29.444994, -98.524120",MANU @ SAS,35,5079,27,0,Center(C),Goal Line,Less Than 8 ft.,shot - 5,
16,17,4,1,2003-04,"29.444994, -98.524120",MANU @ SAS,44,5080,22,,Center(C),Goal Area,Less Than 8 ft.,,shot - 4
-200,146,3,1,2003-04,"29.444994, -98.524120",MANU @ SAS,49,,44,,Left Side Center(LC),Penalty Spot,24+ ft.,,shot - 3
-31,13,11,2,2003-04,"29.444994, -98.524120",MANU @ SAS,4,5082,23,0,Center(C),Goal Area,Less Than 8 ft.,,shot - 4
-192,-3,6,2,,"29.444994, -98.524120",MANU @ SAS,47,5083,39,1,Left Side(L),Mid Range,16-24 ft.,,shot - 3
144,91,6,2,,"29.444994, -98.524120",MANU @ SAS,23,5084,37,1,Right Side(R),,16-24 ft.,,shot - 3
16,8,5,2,2003-04,"29.444994, -98.524120",MANU @ SAS,22,5085,21,1,Center(C),Goal Area,Less Than 8 ft.,shot - 39,
41,143,11,3,2003-04,"29.444994, -98.524120",MANU @ SAS,26,5086,34,,Center(C),Mid Range,8-16 ft.,shot - 6,
-5,13,9,3,,"29.444994, -98.524120",MANU @ SAS,28,5087,21,1,Center(C),Goal Area,Less Than 8 ft.,,shot - 4
215,140,5,3,2003-04,"29.444994, -98.524120",MANU @ SAS,27,,45,,Right Side Center(RC),Penalty Spot,24+ ft.,,shot - 3
-5,25,5,3,,"29.444994, -98.524120",MANU @ SAS,11,5089,,,Center(C),Goal Area,Less Than 8 ft.,shot - 55,
-202,46,11,4,2003-04,"29.444994, -98.524120",MANU @ SAS,,5090,40,,Left Side(L),Mid Range,16-24 ft.,shot - 56,
-217,118,11,4,2003-04,"29.444994, -98.524120",MANU @ SAS,8,5091,44,0,Left Side Center(LC),Penalty Spot,24+ ft.,shot - 3,
-5,,9,4,2003-04,"29.444994, -98.524120",MANU @ SAS,56,5092,22,1,Center(C),Goal Area,Less Than 8 ft.,,shot - 1
-12,59,9,4,2003-04,"29.444994, -98.524120",MANU @ SAS,10,5093,26,0,Center(C),Goal Line,Less Than 8 ft.,,shot - 3
166,41,4,4,2003-04,"29.444994, -98.524120",MANU @ SAS,36,5094,37,1,Right Side(R),Mid Range,16-24 ft.,,shot - 3
181,125,3,4,2003-04,"29.444994, -98.524120",MANU @ SAS,57,5095,41,0,Right Side(R),Mid Range,16-24 ft.,,shot - 3
-10,20,2,4,2003-04,"29.444994, -98.524120",MANU @ SAS,45,5096,22,1,Center(C),Goal Area,Less Than 8 ft.,,shot - 4
-115,23,0,4,2003-04,"29.444994, -98.524120",MANU @ SAS,23,5097,31,0,Left Side(L),Mid Range,8-16 ft.,shot - 33,
-176,207,3,5,2003-04,"29.444994, -98.524120",MANU @ SAS,55,5098,47,,Left Side Center(LC),Penalty Spot,24+ ft.,,shot - 3
-52,155,1,5,2003-04,"29.444994, -98.524120",MANU @ SAS,40,5099,36,0,Left Side Center(LC),Mid Range,16-24 ft.,,shot - 3
-105,-3,1,5,2003-04,"29.444994, -98.524120",MANU @ SAS,24,5100,,1,Left Side(L),Mid Range,8-16 ft.,,shot - 3
-158,7,0,5,2003-04,"29.444994, -98.524120",MANU @ SAS,1,5101,35,0,Left Side(L),Mid Range,,shot - 31,
6,22,4,6,2003-04,"29.444994, -98.524120",MANU @ SAS,38,5102,22,1,Center(C),Goal Area,Less Than 8 ft.,shot - 39,
,13,3,6,2003-04,"29.444994, -98.524120",MANU @ SAS,58,5103,21,,Center(C),,Less Than 8 ft.,,shot - 1
140,,0,6,2003-04,"29.444994, -98.524120",MANU @ SAS,38,5104,36,0,Right Side(R),Mid Range,16-24 ft.,,shot - 3
29,30,0,6,2003-04,"29.444994, -98.524120",MANU @ SAS,25,5105,24,0,Center(C),Goal Line,Less Than 8 ft.,shot - 4,
24,74,,6,2003-04,"29.444994, -98.524120",MANU @ SAS,18,5106,27,0,Center(C),Goal Line,Less Than 8 ft.,shot - 21,
,0,10,1,2003-04,"30.018061, -90.022651",MANU @ NOH,42,5107,20,1,Center(C),Goal Area,Less Than 8 ft.,shot - 46,
187,-5,8,1,2003-04,,MANU @ NOH,54,5108,38,,Right Side(R),Mid Range,16-24 ft.,,shot - 3
0,0,4,1,2003-04,"30.018061, -90.022651",MANU @ NOH,,5109,20,0,Center(C),Goal Area,Less Than 8 ft.,,shot - 4
0,0,4,1,2003-04,,,33,5110,20,1,Center(C),Goal Area,Less Than 8 ft.,shot - 56,
-52,45,3,1,,"30.018061, -90.022651",MANU @ NOH,27,5111,26,0,Center(C),Goal Line,Less Than 8 ft.,,shot - 3
153,77,1,1,,"30.018061, -90.022651",MANU @ NOH,24,5112,37,0,Right Side(R),Mid Range,16-24 ft.,,shot - 3
0,0,1,1,2003-04,"30.018061, -90.022651",MANU @ NOH,0,5113,20,0,Center(C),Goal Area,,,shot - 4
174,15,5,2,2003-04,"30.018061, -90.022651",MANU @ NOH,10,5114,,,Right Side(R),Mid Range,16-24 ft.,,shot - 3
-10,204,11,3,2003-04,"30.018061, -90.022651",MANU @ NOH,7,5115,40,,Center(C),Mid Range,16-24 ft.,,shot - 3
232,17,8,3,2003-04,"30.018061, -90.022651",MANU @ NOH,8,5116,43,0,Right Side(R),Right Corner,24+ ft.,,shot - 3
174,181,2,3,2003-04,"30.018061, -90.022651",MANU @ NOH,17,5117,45,0,,Penalty Spot,24+ ft.,shot - 24,
113,8,1,3,,"30.018061, -90.022651",,42,5118,31,0,Right Side(R),Mid Range,8-16 ft.,,shot - 3
-210,141,5,4,,"30.018061, -90.022651",MANU @ NOH,27,5119,45,0,Left Side Center(LC),Penalty Spot,24+ ft.,shot - 36,
135,,3,4,2003-04,"30.018061, -90.022651",MANU @ NOH,39,5120,44,0,Right Side Center(RC),Penalty Spot,24+ ft.,shot - 6,
-25,63,11,1,2003-04,"35.103812, -89.964007",MANU @ MEM,5,5121,26,0,Center(C),Goal Line,Less Than 8 ft.,,shot - 3
-21,181,9,1,,"35.103812, -89.964007",MANU @ MEM,51,5122,38,0,Center(C),Mid Range,16-24 ft.,,shot - 3
0,0,5,1,2003-04,"35.103812, -89.964007",,56,5123,20,0,Center(C),Goal Area,Less Than 8 ft.,shot - 39,
1,49,9,2,2003-04,"35.103812, -89.964007",MANU @ MEM,19,5124,24,,Center(C),Goal Line,Less Than 8 ft.,,shot - 3
0,0,7,2,2003-04,"35.103812, -89.964007",MANU @ MEM,8,5125,20,1,Center(C),Goal Area,Less Than 8 ft.,shot - 32,
177,100,6,2,2003-04,"35.103812, -89.964007",MANU @ MEM,32,5126,40,0,Right Side(R),Mid Range,16-24 ft.,,shot - 3
169,-11,3,2,,"35.103812, -89.964007",MANU @ MEM,3,5127,36,0,,Mid Range,16-24 ft.,shot - 15,
,0,8,4,2003-04,"35.103812, -89.964007",MANU @ MEM,48,5128,20,1,Center(C),Goal Area,Less Than 8 ft.,shot - 4,
-200,99,8,4,2003-04,"35.103812, -89.964007",MANU @ MEM,10,5129,42,,Left Side(L),,16-24 ft.,,shot - 3
0,0,6,4,,"35.103812, -89.964007",MANU @ MEM,38,5130,20,1,Center(C),Goal Area,Less Than 8 ft.,shot - 4,
,0,,4,2003-04,"35.103812, -89.964007",MANU @ MEM,6,5131,20,0,Center(C),Goal Area,Less Than 8 ft.,shot - 39,
-161,12,4,4,2003-04,"35.103812, -89.964007",MANU @ MEM,,5132,36,0,Left Side(L),Mid Range,16-24 ft.,shot - 38,
-18,35,3,4,2003-04,"35.103812, -89.964007",MANU @ MEM,35,5133,23,1,Center(C),Goal Area,Less Than 8 ft.,shot - 15,
-232,112,3,4,2003-04,"35.103812, -89.964007",MANU @ MEM,0,5134,45,0,Left Side Center(LC),Penalty Spot,24+ ft.,,shot - 3
-145,215,1,4,2003-04,"35.103812, -89.964007",MANU @ MEM,44,5135,45,0,Left Side Center(LC),Penalty Spot,24+ ft.,shot - 43,
0,0,10,1,2003-04,"42.982923, -71.446094",MANU vs. TOR,50,5136,20,1,Center(C),Goal Area,Less Than 8 ft.,shot - 39,
0,0,8,1,2003-04,"42.982923, -71.446094",MANU vs. TOR,,5137,20,,Center(C),Goal Area,Less Than 8 ft.,shot - 39,
38,63,6,1,2003-04,"42.982923, -71.446094",MANU vs. TOR,,5138,27,0,Center(C),Goal Line,Less Than 8 ft.,,shot - 3
163,-21,5,1,2003-04,"42.982923, -71.446094",MANU vs. TOR,30,5139,36,,Right Side(R),Mid Range,16-24 ft.,shot - 21,
56,,4,2,2003-04,"42.982923, -71.446094",MANU vs. TOR,56,5140,29,1,Right Side(R),Goal Line,8-16 ft.,shot - 38,
0,0,6,3,2003-04,"42.982923, -71.446094",MANU vs. TOR,46,5141,20,0,Center(C),Goal Area,Less Than 8 ft.,shot - 39,
-122,242,5,3,2003-04,"42.982923, -71.446094",MANU vs. TOR,6,5142,47,,Left Side Center(LC),Penalty Spot,24+ ft.,shot - 31,
44,66,4,,2003-04,"42.982923, -71.446094",MANU vs. TOR,,5143,27,0,Center(C),Goal Line,Less Than 8 ft.,,shot - 3
,143,,4,2003-04,"42.982923, -71.446094",MANU vs. TOR,41,5144,38,,Left Side Center(LC),,16-24 ft.,shot - 36,
28,104,10,4,2003-04,"42.982923, -71.446094",MANU vs. TOR,51,5145,30,0,Center(C),Goal Line,,,shot - 3
0,0,8,4,2003-04,"42.982923, -71.446094",MANU vs. TOR,43,5146,20,1,Center(C),Goal Area,Less Than 8 ft.,shot - 39,
0,0,11,1,,"42.982923, -71.446094",MANU vs. DET,46,,,1,Center(C),Goal Area,Less Than 8 ft.,,shot - 1
0,0,9,1,,,MANU vs. DET,48,5148,20,1,Center(C),Goal Area,Less Than 8 ft.,,shot - 1
0,0,6,1,2003-04,"42.982923, -71.446094",MANU vs. DET,44,5149,20,,Center(C),Goal Area,Less Than 8 ft.,,shot - 4
0,0,6,1,2003-04,"42.982923, -71.446094",,2,5150,20,1,Center(C),Goal Area,Less Than 8 ft.,,shot - 4
0,0,0,2,,"42.982923, -71.446094",MANU vs. DET,30,5151,20,0,Center(C),Goal Area,Less Than 8 ft.,,shot - 4
21,156,10,3,2003-04,"42.982923, -71.446094",MANU vs. DET,45,5152,35,1,Center(C),Mid Range,8-16 ft.,,shot - 3
94,153,8,3,2003-04,"42.982923, -71.446094",MANU vs. DET,5,5153,37,0,Right Side Center(RC),Mid Range,16-24 ft.,,shot - 3
95,140,8,4,2003-04,"42.982923, -71.446094",MANU vs. DET,39,5154,36,1,Right Side Center(RC),Mid Range,16-24 ft.,shot - 44,
44,118,5,4,2003-04,"42.982923, -71.446094",MANU vs. DET,29,5155,32,1,Center(C),Goal Line,8-16 ft.,,shot - 3
-62,168,4,4,2003-04,"42.982923, -71.446094",MANU vs. DET,49,5156,37,0,Left Side Center(LC),Mid Range,16-24 ft.,shot - 47,
26,141,0,4,2003-04,"42.982923, -71.446094",,57,5157,34,,Center(C),Mid Range,,shot - 56,
-103,186,11,1,2003-04,"42.982923, -71.446094",MANU vs. MIA,11,5158,41,1,Left Side Center(LC),Mid Range,16-24 ft.,,shot - 3
-125,161,11,2,,"42.982923, -71.446094",MANU vs. MIA,24,5159,40,1,Left Side Center(LC),Mid Range,16-24 ft.,shot - 51,
8,49,9,2,2003-04,"42.982923, -71.446094",MANU vs. MIA,22,5160,24,1,Center(C),Goal Line,Less Than 8 ft.,shot - 17,
143,233,9,3,2003-04,,MANU vs. MIA,,5161,47,0,Right Side Center(RC),Penalty Spot,24+ ft.,,shot - 3
-128,143,4,3,2003-04,"42.982923, -71.446094",MANU vs. MIA,5,5162,39,0,Left Side Center(LC),Mid Range,16-24 ft.,shot - 22,
-143,100,11,4,,"42.982923, -71.446094",MANU vs. MIA,33,5163,37,,Left Side(L),Mid Range,16-24 ft.,,shot - 3
-85,87,11,4,,"42.982923, -71.446094",MANU vs. MIA,15,5164,32,1,Left Side(L),Mid Range,8-16 ft.,,shot - 3
89,123,9,4,,"42.982923, -71.446094",MANU vs. MIA,,5165,35,1,Right Side(R),Mid Range,8-16 ft.,,shot - 3
115,122,4,4,2003-04,"42.982923, -71.446094",MANU vs. MIA,55,5166,36,1,Right Side Center(RC),Mid Range,,shot - 13,
192,-14,3,4,2003-04,"42.982923, -71.446094",MANU vs. MIA,14,5167,39,0,Right Side(R),Mid Range,,shot - 21,
0,0,5,1,2003-04,"42.379455, -83.115635",MANU @ DET,37,5168,20,0,Center(C),Goal Area,Less Than 8 ft.,shot - 39,
148,115,3,1,2003-04,"42.379455, -83.115635",MANU @ DET,34,5169,38,0,Right Side Center(RC),Mid Range,,shot - 10,
146,100,2,,2003-04,"42.379455, -83.115635",MANU @ DET,24,,37,1,Right Side(R),Mid Range,16-24 ft.,shot - 15,
172,81,7,2,2003-04,"42.379455, -83.115635",MANU @ DET,49,5171,39,0,Right Side(R),Mid Range,16-24 ft.,,shot - 3
,66,3,2,2003-04,"42.379455, -83.115635",MANU @ DET,12,5172,35,0,Left Side(L),Mid Range,8-16 ft.,shot - 52,
-166,189,0,2,2003-04,"42.379455, -83.115635",MANU @ DET,47,,45,0,Left Side Center(LC),Penalty Spot,24+ ft.,shot - 22,
-146,117,11,3,2003-04,"42.379455, -83.115635",MANU @ DET,44,5174,38,,Left Side Center(LC),Mid Range,16-24 ft.,,shot - 3
0,0,11,3,2003-04,"42.379455, -83.115635",MANU @ DET,38,5175,20,0,Center(C),Goal Area,Less Than 8 ft.,shot - 39,
0,0,,3,2003-04,"42.379455, -83.115635",MANU @ DET,37,5176,20,,Center(C),Goal Area,Less Than 8 ft.,shot - 39,
,0,7,3,2003-04,"42.379455, -83.115635",MANU @ DET,2,5177,,1,Center(C),Goal Area,Less Than 8 ft.,,shot - 4
-128,140,3,3,2003-04,"42.379455, -83.115635",MANU @ DET,35,5178,38,0,Left Side Center(LC),Mid Range,16-24 ft.,shot - 34,
117,-3,9,4,2003-04,"42.379455, -83.115635",,48,5179,31,,Right Side(R),Mid Range,8-16 ft.,shot - 49,
199,169,7,4,2003-04,"42.379455, -83.115635",MANU @ DET,46,5180,46,0,Right Side Center(RC),Penalty Spot,24+ ft.,shot - 25,
82,10,6,4,,"42.379455, -83.115635",,24,5181,28,0,,,8-16 ft.,,shot - 3
-148,-44,11,1,2003-04,"40.708999, -73.872430",MANU @ NYK,3,5182,35,1,Left Side(L),Mid Range,8-16 ft.,shot - 38,
0,0,9,1,2003-04,,MANU @ NYK,49,,20,1,Center(C),Goal Area,Less Than 8 ft.,,shot - 4
-66,114,7,1,2003-04,"40.708999, -73.872430",MANU @ NYK,29,,33,0,Left Side(L),Goal Line,8-16 ft.,shot - 36,
112,-26,7,1,,"40.708999, -73.872430",MANU @ NYK,3,5185,31,1,Right Side(R),Mid Range,8-16 ft.,shot - 45,
0,0,6,1,,"40.708999, -73.872430",MANU @ NYK,22,5186,20,,Center(C),Goal Area,Less Than 8 ft.,,shot - 4
0,0,5,1,2003-04,"40.708999, -73.872430",MANU @ NYK,24,5187,20,0,Center(C),Goal Area,Less Than 8 ft.,,shot - 4
0,0,5,1,2003-04,"40.708999, -73.872430",MANU @ NYK,16,5188,20,0,Center(C),Goal Area,Less Than 8 ft.,shot - 39,
0,0,2,1,,"40.708999, -73.872430",MANU @ NYK,48,5189,,1,Center(C),Goal Area,Less Than 8 ft.,,shot - 4
-92,-24,10,2,,"40.708999, -73.872430",MANU @ NYK,26,5190,29,1,Left Side(L),Mid Range,8-16 ft.,shot - 15,
138,66,8,2,2003-04,"40.708999, -73.872430",MANU @ NYK,49,5191,35,0,Right Side(R),Mid Range,8-16 ft.,,shot - 3
-6,77,6,2,,"40.708999, -73.872430",MANU @ NYK,38,5192,27,1,Center(C),Goal Line,,,shot - 3
0,0,4,2,2003-04,"40.708999, -73.872430",MANU @ NYK,,,,0,Center(C),Goal Area,Less Than 8 ft.,shot - 39,
0,0,5,3,2003-04,,MANU @ NYK,46,5194,20,1,Center(C),Goal Area,Less Than 8 ft.,shot - 39,
-148,105,8,1,,"42.982923, -71.446094",MANU vs. CHI,43,5195,38,,,Mid Range,16-24 ft.,shot - 3,
,0,8,,2003-04,"42.982923, -71.446094",MANU vs. CHI,32,5196,,1,Center(C),Goal Area,Less Than 8 ft.,,shot - 1
0,0,7,1,2003-04,"42.982923, -71.446094",MANU vs. CHI,41,5197,20,0,Center(C),Goal Area,Less Than 8 ft.,shot - 39,
44,-6,5,1,,"42.982923, -71.446094",MANU vs. CHI,48,5198,24,0,Center(C),Goal Line,Less Than 8 ft.,,shot - 3
144,59,11,2,2003-04,"42.982923, -71.446094",MANU vs. CHI,25,5199,35,,Right Side(R),Mid Range,8-16 ft.,shot - 13,
0,0,10,2,2003-04,,MANU vs. CHI,23,,20,1,,Goal Area,Less Than 8 ft.,,shot - 4
0,0,2,2,2003-04,"42.982923, -71.446094",MANU vs. CHI,42,5201,20,1,Center(C),Goal Area,Less Than 8 ft.,shot - 39,
151,97,,3,2003-04,"42.982923, -71.446094",MANU vs. CHI,47,5202,37,0,Right Side(R),Mid Range,16-24 ft.,,shot - 3
-5,63,11,4,2003-04,"42.982923, -71.446094",MANU vs. CHI,10,5203,26,,Center(C),Goal Line,Less Than 8 ft.,shot - 44,
0,0,8,4,2003-04,"42.982923, -71.446094",MANU vs. CHI,6,5204,20,,Center(C),Goal Area,Less Than 8 ft.,shot - 4,
-161,,6,4,,"42.982923, -71.446094",MANU vs. CHI,30,5205,36,0,Left Side(L),Mid Range,16-24 ft.,,shot - 3
136,-31,5,,2003-04,"42.982923, -71.446094",MANU vs. CHI,52,5206,33,,Right Side(R),Mid Range,8-16 ft.,,shot - 3
107,146,5,4,2003-04,"42.982923, -71.446094",MANU vs. CHI,0,5207,38,,Right Side Center(RC),Mid Range,16-24 ft.,shot - 15,
-95,41,4,4,2003-04,"42.982923, -71.446094",,7,5208,30,0,Left Side(L),Mid Range,8-16 ft.,shot - 24,
-25,30,3,4,2003-04,"42.982923, -71.446094",MANU vs. CHI,50,5209,23,0,Center(C),Goal Area,Less Than 8 ft.,shot - 36,
0,0,3,4,2003-04,"42.982923, -71.446094",MANU vs. CHI,7,5210,20,0,Center(C),Goal Area,Less Than 8 ft.,shot - 39,
-181,181,2,4,2003-04,"42.982923, -71.446094",MANU vs. CHI,2,5211,45,0,Left Side Center(LC),Penalty Spot,24+ ft.,,shot - 3
0,0,1,4,2003-04,"42.982923, -71.446094",MANU vs. CHI,9,5212,20,1,,Goal Area,Less Than 8 ft.,shot - 18,
-71,,0,4,2003-04,"42.982923, -71.446094",MANU vs. CHI,41,5213,30,1,Left Side(L),Goal Line,8-16 ft.,,shot - 3
-2,114,10,1,2003-04,"42.982923, -71.446094",MANU vs. MEM,34,5214,31,0,Center(C),,8-16 ft.,shot - 36,
192,59,6,1,2003-04,"42.982923, -71.446094",MANU vs. MEM,44,5215,40,1,Right Side(R),Mid Range,16-24 ft.,,shot - 3
0,0,5,1,2003-04,"42.982923, -71.446094",MANU vs. MEM,36,5216,20,0,Center(C),Goal Area,Less Than 8 ft.,shot - 4,
-204,46,7,2,2003-04,"42.982923, -71.446094",MANU vs. MEM,16,5217,40,0,Left Side(L),Mid Range,16-24 ft.,,shot - 3
174,197,4,2,2003-04,"42.982923, -71.446094",MANU vs. MEM,38,5218,46,1,Right Side Center(RC),Penalty Spot,24+ ft.,,shot - 3
-66,127,3,2,2003-04,"42.982923, -71.446094",MANU vs. MEM,45,5219,34,0,Center(C),Goal Line,8-16 ft.,shot - 38,
98,137,2,2,2003-04,"42.982923, -71.446094",MANU vs. MEM,27,5220,36,,Right Side Center(RC),Mid Range,16-24 ft.,,shot - 3
0,0,2,2,2003-04,"42.982923, -71.446094",MANU vs. MEM,21,5221,20,,Center(C),Goal Area,Less Than 8 ft.,,shot - 4
118,146,0,2,,"42.982923, -71.446094",MANU vs. MEM,49,5222,38,1,Right Side Center(RC),Mid Range,16-24 ft.,,shot - 3
61,138,11,3,2003-04,"42.982923, -71.446094",MANU vs. MEM,6,,35,0,Center(C),Goal Line,8-16 ft.,,shot - 3
-110,237,,3,2003-04,"42.982923, -71.446094",MANU vs. MEM,29,5224,46,,Left Side Center(LC),Penalty Spot,24+ ft.,,shot - 3
87,181,6,3,2003-04,"42.982923, -71.446094",MANU vs. MEM,,5225,40,1,Right Side Center(RC),Mid Range,16-24 ft.,,shot - 3
62,22,5,3,,"42.982923, -71.446094",MANU vs. MEM,15,5226,26,1,Center(C),Goal Line,Less Than 8 ft.,,shot - 3
-143,20,10,4,2003-04,"42.982923, -71.446094",MANU vs. MEM,53,5227,34,,Left Side(L),Mid Range,8-16 ft.,shot - 36,
-34,17,10,4,2003-04,"42.982923, -71.446094",MANU vs. MEM,49,5228,23,1,,Goal Area,Less Than 8 ft.,,shot - 4
85,-11,,4,2003-04,"42.982923, -71.446094",MANU vs. MEM,33,5229,28,,Right Side(R),Mid Range,8-16 ft.,shot - 24,
138,13,10,1,2003-04,"42.982923, -71.446094",MANU vs. WAS,24,5230,33,0,Right Side(R),Mid Range,,,shot - 3
151,202,9,,2003-04,"42.982923, -71.446094",MANU vs. WAS,15,5231,45,1,Right Side Center(RC),Penalty Spot,24+ ft.,,shot - 3
0,0,7,1,2003-04,,MANU vs. WAS,46,,20,,Center(C),Goal Area,Less Than 8 ft.,,shot - 1
121,215,6,1,2003-04,"42.982923, -71.446094",MANU vs. WAS,57,5233,44,0,Right Side Center(RC),Penalty Spot,24+ ft.,,shot - 3
0,0,,1,2003-04,"42.982923, -71.446094",MANU vs. WAS,20,5234,20,1,Center(C),Goal Area,Less Than 8 ft.,shot - 28,
77,79,2,1,2003-04,"42.982923, -71.446094",MANU vs. WAS,48,5235,31,1,Right Side(R),Goal Line,8-16 ft.,shot - 36,
,-23,1,2,2003-04,"42.982923, -71.446094",MANU vs. WAS,28,5236,32,0,Right Side(R),Mid Range,8-16 ft.,shot - 36,
0,0,0,2,,"42.982923, -71.446094",MANU vs. WAS,43,5237,20,1,Center(C),Goal Area,Less Than 8 ft.,,shot - 4
,82,11,3,2003-04,,MANU vs. WAS,38,5238,31,0,Left Side(L),Mid Range,8-16 ft.,,shot - 3
-237,3,11,3,2003-04,"42.982923, -71.446094",MANU vs. WAS,35,5239,43,0,Left Side(L),Left Corner,24+ ft.,shot - 36,
0,0,9,3,2003-04,"42.982923, -71.446094",MANU vs. WAS,20,5240,20,,Center(C),Goal Area,Less Than 8 ft.,,shot - 4
0,0,5,3,2003-04,"42.982923, -71.446094",MANU vs. WAS,58,5241,,1,Center(C),Goal Area,Less Than 8 ft.,shot - 18,
-107,-8,2,3,2003-04,"42.982923, -71.446094",MANU vs. WAS,39,5242,30,,Left Side(L),Mid Range,8-16 ft.,shot - 15,
-135,68,8,1,,"42.982923, -71.446094",MANU vs. SAS,32,5243,35,,Left Side(L),Mid Range,8-16 ft.,shot - 23,
-28,261,,1,2003-04,"42.982923, -71.446094",MANU vs. SAS,22,5244,46,0,Center(C),Penalty Spot,24+ ft.,shot - 1,
10,110,9,2,2003-04,"42.982923, -71.446094",MANU vs. SAS,17,5245,31,,Center(C),Goal Line,8-16 ft.,,shot - 3
0,0,8,2,,"42.982923, -71.446094",MANU vs. SAS,50,5246,20,1,Center(C),Goal Area,Less Than 8 ft.,shot - 4,
113,143,8,2,2003-04,"42.982923, -71.446094",MANU vs. SAS,29,5247,38,0,Right Side Center(RC),Mid Range,16-24 ft.,,shot - 3
0,0,8,2,2003-04,"42.982923, -71.446094",MANU vs. SAS,1,5248,20,,Center(C),Goal Area,Less Than 8 ft.,shot - 39,
-75,30,4,2,2003-04,"42.982923, -71.446094",,15,,28,,Left Side(L),Goal Line,8-16 ft.,shot - 36,
0,0,1,2,2003-04,"42.982923, -71.446094",MANU vs. SAS,14,5250,20,1,Center(C),Goal Area,Less Than 8 ft.,,shot - 4
31,501,0,2,2003-04,"42.982923, -71.446094",MANU vs. SAS,0,,70,0,Mid Ground(MG),Mid Ground Line,Back Court Shot,shot - 30,
67,25,9,3,2003-04,"42.982923, -71.446094",MANU vs. SAS,13,5252,,1,Center(C),Goal Line,Less Than 8 ft.,,shot - 3
207,151,6,3,2003-04,"42.982923, -71.446094",MANU vs. SAS,37,5253,45,1,Right Side Center(RC),Penalty Spot,24+ ft.,,shot - 3
148,71,6,,2003-04,"42.982923, -71.446094",MANU vs. SAS,23,5254,,,Right Side(R),Mid Range,16-24 ft.,,shot - 3
75,17,5,3,2003-04,"42.982923, -71.446094",MANU vs. SAS,35,,27,0,Center(C),Goal Line,Less Than 8 ft.,,shot - 2
0,0,7,,,"42.982923, -71.446094",MANU vs. IND,25,5256,20,0,Center(C),Goal Area,Less Than 8 ft.,shot - 39,
0,0,6,1,2003-04,"42.982923, -71.446094",MANU vs. IND,53,5257,20,1,Center(C),Goal Area,Less Than 8 ft.,shot - 4,
0,0,5,,2003-04,"42.982923, -71.446094",MANU vs. IND,40,5258,20,0,Center(C),Goal Area,Less Than 8 ft.,,shot - 4
-23,69,4,1,2003-04,"42.982923, -71.446094",MANU vs. IND,32,5259,27,0,Center(C),Goal Line,Less Than 8 ft.,shot - 47,
-38,66,8,2,2003-04,,MANU vs. IND,17,5260,27,0,Center(C),Goal Line,Less Than 8 ft.,shot - 38,
-29,102,7,2,2003-04,"42.982923, -71.446094",MANU vs. IND,49,5261,30,1,Center(C),Goal Line,,,shot - 3
121,178,6,2,2003-04,"42.982923, -71.446094",MANU vs. IND,16,5262,41,0,Right Side Center(RC),Mid Range,16-24 ft.,shot - 6,
0,0,3,2,2003-04,"42.982923, -71.446094",MANU vs. IND,54,5263,20,1,Center(C),Goal Area,Less Than 8 ft.,,shot - 4
66,250,6,3,2003-04,"42.982923, -71.446094",MANU vs. IND,,5264,45,1,Center(C),Penalty Spot,24+ ft.,shot - 16,
-145,210,4,3,2003-04,"42.982923, -71.446094",MANU vs. IND,39,5265,45,,Left Side Center(LC),Penalty Spot,24+ ft.,shot - 36,
117,160,11,1,2003-04,"29.444994, -98.524120",MANU @ SAS,24,5266,39,0,Right Side Center(RC),Mid Range,16-24 ft.,,shot - 3
24,13,10,1,2003-04,"29.444994, -98.524120",MANU @ SAS,43,5267,22,0,Center(C),Goal Area,Less Than 8 ft.,shot - 49,
